,case:id,case:concept:name,concept:name,Variant,time:timestamp,Question,Report,Year,Category,Type,Tupla,Organization
10,A12 P4 BPI 2020,A12 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2022-03-12 05:24:15.966942,P4,A12,2020,Professional,Analyze Time,A122020,Sberbank
11,A13 P4 BPI 2020,A13 P4 BPI 2020,Represent process map,Represent process map with cycle time,2022-03-12 06:24:15.966942,P4,A13,2020,Professional,Representation,A132020,Sberbank
12,A13 P4 BPI 2020,A13 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2022-03-12 07:24:15.966942,P4,A13,2020,Professional,Analyze Time,A132020,Sberbank
13,A13 P4 BPI 2020,A13 P4 BPI 2020,Group activities,Group activities by sub-processes,2022-03-12 08:24:15.966942,P4,A13,2020,Professional,Manipulation,A132020,Sberbank
14,A13 P4 BPI 2020,A13 P4 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for each subset of traces,2022-03-12 09:24:15.966942,P4,A13,2020,Professional,Analyze Time,A132020,Sberbank
15,A18 P4 BPI 2020,A18 P4 BPI 2020,Represent process map,Represent process map with frequency,2022-03-12 10:24:15.966942,P4,A18,2020,Academic,Representation,A182020,Politecnico di Milano
16,A18 P4 BPI 2020,A18 P4 BPI 2020,Calculate cycle time,Calculate cycle time of only a subset of pairs of events for a subset of traces,2022-03-12 11:24:15.966942,P4,A18,2020,Academic,Analyze Time,A182020,Politecnico di Milano
17,A25 P4 BPI 2020,A25 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2022-03-12 12:24:15.966942,P4,A25,2020,Student,Analyze Time,A252020,¿?
18,A25 P4 BPI 2020,A25 P4 BPI 2020,Represent bar charts,Represent bar charts of cycle time,2022-03-12 13:24:15.966942,P4,A25,2020,Student,Representation,A252020,¿?
19,A25 P4 BPI 2020,A25 P4 BPI 2020,Find bottlenecks,Find activities as bottlenecks applying temporal performance criteria,2022-03-12 14:24:15.966942,P4,A25,2020,Student,Analyze Time,A252020,¿?
20,A26 P4 BPI 2020,A26 P4 BPI 2020,Filter variants depending on frequency,Filter variants depending on frequency,2022-03-12 15:24:15.966942,P4,A26,2020,Professional,Manipulation,A262020,Sberbank
21,A26 P4 BPI 2020,A26 P4 BPI 2020,Represent histograms,Represent histograms of cycle time,2022-03-12 16:24:15.966942,P4,A26,2020,Professional,Representation,A262020,Sberbank
22,A28 P4 BPI 2020,A28 P4 BPI 2020,Preprocess the traces of the logs,Preprocess the traces of the logs,2022-03-12 17:24:15.966942,P4,A28,2020,Professional,Manipulation,A282020,Sberbank
23,A28 P4 BPI 2020,A28 P4 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2022-03-12 18:24:15.966942,P4,A28,2020,Professional,Analyze Time,A282020,Sberbank
24,A28 P4 BPI 2020,A28 P4 BPI 2020,Represent heat maps of cycle time and an attribute,Represent heat maps of cycle time and an attribute,2022-03-12 19:24:15.966942,P4,A28,2020,Professional,Representation,A282020,Sberbank
25,A28 P4 BPI 2020,A28 P4 BPI 2020,Find bottlenecks,Find activities as bottlenecks applying temporal performance criteria,2022-03-12 20:24:15.966942,P4,A28,2020,Professional,Analyze Time,A282020,Sberbank
26,A28 P4 BPI 2020,A28 P4 BPI 2020,Preprocess the traces of the logs,Preprocess the traces of the logs,2022-03-12 21:24:15.966942,P4,A28,2020,Professional,Manipulation,A282020,Sberbank
27,A28 P4 BPI 2020,A28 P4 BPI 2020,Represent heat maps of cycle time and an attribute,Represent heat maps of cycle time and an attribute,2022-03-12 22:24:15.966942,P4,A28,2020,Professional,Representation,A282020,Sberbank
28,A28 P4 BPI 2020,A28 P4 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2022-03-12 23:24:15.966942,P4,A28,2020,Professional,Analyze Time,A282020,Sberbank
29,A28 P4 BPI 2020,A28 P4 BPI 2020,Represent heat maps of cycle time and an attribute,Represent heat maps of cycle time and an attribute,2022-03-13 00:24:15.966942,P4,A28,2020,Professional,Representation,A282020,Sberbank
30,A28 P4 BPI 2020,A28 P4 BPI 2020,Preprocess the traces of the logs,Preprocess the traces of the logs,2022-03-13 01:24:15.966942,P4,A28,2020,Professional,Manipulation,A282020,Sberbank
31,A28 P4 BPI 2020,A28 P4 BPI 2020,Represent heat maps of cycle time and an attribute,Represent heat maps of cycle time and an attribute,2022-03-13 02:24:15.966942,P4,A28,2020,Professional,Representation,A282020,Sberbank
32,A35 P4 BPI 2020,A35 P4 BPI 2020,Filter traces,Filter traces by activities,2022-03-13 03:24:15.966942,P4,A35,2020,Professional,Manipulation,A352020,-
33,A35 P4 BPI 2020,A35 P4 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2022-03-13 04:24:15.966942,P4,A35,2020,Professional,Analyze Time,A352020,-
34,A35 P4 BPI 2020,A35 P4 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for a subset of traces,2022-03-13 05:24:15.966942,P4,A35,2020,Professional,Analyze Time,A352020,-
35,A35 P4 BPI 2020,A35 P4 BPI 2020,Calculate number of elements,Calculate number of traces,2022-03-13 06:24:15.966942,P4,A35,2020,Professional,Calculate statistics,A352020,-
36,A35 P4 BPI 2020,A35 P4 BPI 2020,Calculate number of elements,Calculate number of activities,2022-03-13 07:24:15.966942,P4,A35,2020,Professional,Calculate statistics,A352020,-
37,A35 P4 BPI 2020,A35 P4 BPI 2020,Calculate average of activities per trace,Calculate average of activities per trace,2022-03-13 08:24:15.966942,P4,A35,2020,Professional,Calculate statistics,A352020,-
38,A35 P4 BPI 2020,A35 P4 BPI 2020,Group traces,Group traces by roles,2022-03-13 09:24:15.966942,P4,A35,2020,Professional,Manipulation,A352020,-
39,A35 P4 BPI 2020,A35 P4 BPI 2020,Represent histograms,Represent histograms of cycle time,2022-03-13 10:24:15.966942,P4,A35,2020,Professional,Representation,A352020,-
40,A37 P4 BPI 2020,A37 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2022-03-13 11:24:15.966942,P4,A37,2020,Professional,Analyze Time,A372020,Sberbank
41,A1 P5 BPI 2020,A1 P5 BPI 2020,Filter traces,Filter traces by activities,2022-03-13 12:24:15.966942,P5,A1,2020,Academic,Manipulation,A12020,"Technische Universität, Berlin"
42,A1 P5 BPI 2020,A1 P5 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2022-03-13 13:24:15.966942,P5,A1,2020,Academic,Analyze Time,A12020,"Technische Universität, Berlin"
43,A1 P5 BPI 2020,A1 P5 BPI 2020,Find bottlenecks,Find activities as bottlenecks applying temporal performance criteria,2022-03-13 14:24:15.966942,P5,A1,2020,Academic,Analyze Time,A12020,"Technische Universität, Berlin"
44,A2 P5 BPI 2020,A2 P5 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2022-03-13 15:24:15.966942,P5,A2,2020,Student,Analyze Time,A22020,"Faculty of Science, Utrecht University"
45,A2 P5 BPI 2020,A2 P5 BPI 2020,Find bottlenecks,Find activities as bottlenecks applying temporal performance criteria,2022-03-13 16:24:15.966942,P5,A2,2020,Student,Analyze Time,A22020,"Faculty of Science, Utrecht University"
46,A2 P5 BPI 2020,A2 P5 BPI 2020,Represent process map,Represent process map with cycle time,2022-03-13 17:24:15.966942,P5,A2,2020,Student,Representation,A22020,"Faculty of Science, Utrecht University"
47,A7 P5 BPI 2020,A7 P5 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2022-03-13 18:24:15.966942,P5,A7,2020,Academic,Analyze Time,A72020,German Research Center for Artificial Intelligence (DFKI)
48,A7 P5 BPI 2020,A7 P5 BPI 2020,Filter activities,Filter activities by cycle time,2022-03-13 19:24:15.966942,P5,A7,2020,Academic,Manipulation,A72020,German Research Center for Artificial Intelligence (DFKI)
49,A7 P5 BPI 2020,A7 P5 BPI 2020,Find bottlenecks,Find activities as bottlenecks applying temporal performance criteria,2022-03-13 20:24:15.966942,P5,A7,2020,Academic,Analyze Time,A72020,German Research Center for Artificial Intelligence (DFKI)
50,A10 P5 BPI 2020,A10 P5 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2022-03-13 21:24:15.966942,P5,A10,2020,Academic,Analyze Time,A102020,"Internal Audit Department, Rostov-on-Don"
51,A10 P5 BPI 2020,A10 P5 BPI 2020,Find bottlenecks,Find activities as bottlenecks applying temporal performance criteria,2022-03-13 22:24:15.966942,P5,A10,2020,Academic,Analyze Time,A102020,"Internal Audit Department, Rostov-on-Don"
52,A10 P5 BPI 2020,A10 P5 BPI 2020,Calculate number of elements,Calculate number of activities,2022-03-13 23:24:15.966942,P5,A10,2020,Academic,Calculate statistics,A102020,"Internal Audit Department, Rostov-on-Don"
53,A12 P5 BPI 2020,A12 P5 BPI 2020,Calculate processing time,Calculate processing time,2022-03-14 00:24:15.966942,P5,A12,2020,Professional,Analyze Time,A122020,Sberbank
54,A12 P5 BPI 2020,A12 P5 BPI 2020,Filter traces,Filter traces by activities,2022-03-14 01:24:15.966942,P5,A12,2020,Professional,Manipulation,A122020,Sberbank
55,A12 P5 BPI 2020,A12 P5 BPI 2020,Represent process map,Represent process map with cycle time,2022-03-14 02:24:15.966942,P5,A12,2020,Professional,Representation,A122020,Sberbank
56,A12 P5 BPI 2020,A12 P5 BPI 2020,Represent bar charts,Represent bar charts of cycle time,2022-03-14 03:24:15.966942,P5,A12,2020,Professional,Representation,A122020,Sberbank
57,A12 P5 BPI 2020,A12 P5 BPI 2020,Find bottlenecks,Find activities as bottlenecks applying temporal performance criteria,2022-03-14 04:24:15.966942,P5,A12,2020,Professional,Analyze Time,A122020,Sberbank
58,A13 P5 BPI 2020,A13 P5 BPI 2020,Represent process map,Represent process map with cycle time,2022-03-14 05:24:15.966942,P5,A13,2020,Professional,Representation,A132020,Sberbank
59,A13 P5 BPI 2020,A13 P5 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2022-03-14 06:24:15.966942,P5,A13,2020,Professional,Analyze Time,A132020,Sberbank
60,A13 P5 BPI 2020,A13 P5 BPI 2020,Find bottlenecks,Find activities as bottlenecks applying temporal performance criteria,2022-03-14 07:24:15.966942,P5,A13,2020,Professional,Analyze Time,A132020,Sberbank
61,A18 P5 BPI 2020,A18 P5 BPI 2020,Calculate cycle time,Calculate cycle time of only a subset of pairs of events for a subset of traces,2022-03-14 08:24:15.966942,P5,A18,2020,Academic,Analyze Time,A182020,Politecnico di Milano
62,A18 P5 BPI 2020,A18 P5 BPI 2020,Find bottlenecks,Find sub-processes as bottlenecks applying temporal performance criteria,2022-03-14 09:24:15.966942,P5,A18,2020,Academic,Analyze Time,A182020,Politecnico di Milano
63,A25 P5 BPI 2020,A25 P5 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2022-03-14 10:24:15.966942,P5,A25,2020,Student,Analyze Time,A252020,¿?
64,A25 P5 BPI 2020,A25 P5 BPI 2020,Represent bar charts,Represent bar charts of cycle time,2022-03-14 11:24:15.966942,P5,A25,2020,Student,Representation,A252020,¿?
65,A25 P5 BPI 2020,A25 P5 BPI 2020,Find bottlenecks,Find activities as bottlenecks applying temporal performance criteria,2022-03-14 12:24:15.966942,P5,A25,2020,Student,Analyze Time,A252020,¿?
66,A26 P5 BPI 2020,A26 P5 BPI 2020,Represent process map,Represent process map with cycle time,2022-03-14 13:24:15.966942,P5,A26,2020,Professional,Representation,A262020,Sberbank
67,A26 P5 BPI 2020,A26 P5 BPI 2020,Find bottlenecks,Find activities as bottlenecks applying temporal performance criteria,2022-03-14 14:24:15.966942,P5,A26,2020,Professional,Analyze Time,A262020,Sberbank
68,A28 P5 BPI 2020,A28 P5 BPI 2020,Find bottlenecks,Find sub-processes with incorrect orders with respect to the happy path as bottlenecks,2022-03-14 15:24:15.966942,P5,A28,2020,Professional,Analyze Time,A282020,Sberbank
69,A28 P5 BPI 2020,A28 P5 BPI 2020,Calculate number of elements,Calculate number of activities,2022-03-14 16:24:15.966942,P5,A28,2020,Professional,Calculate statistics,A282020,Sberbank
70,A28 P5 BPI 2020,A28 P5 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2022-03-14 17:24:15.966942,P5,A28,2020,Professional,Analyze Time,A282020,Sberbank
71,A35 P5 BPI 2020,A35 P5 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2022-03-14 18:24:15.966942,P5,A35,2020,Professional,Analyze Time,A352020,-
72,A35 P5 BPI 2020,A35 P5 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for a subset of traces,2022-03-14 19:24:15.966942,P5,A35,2020,Professional,Analyze Time,A352020,-
73,A35 P5 BPI 2020,A35 P5 BPI 2020,Find bottlenecks,Find activities as bottlenecks applying temporal performance criteria,2022-03-14 20:24:15.966942,P5,A35,2020,Professional,Analyze Time,A352020,-
74,A37 P5 BPI 2020,A37 P5 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2022-03-14 21:24:15.966942,P5,A37,2020,Professional,Analyze Time,A372020,Sberbank
75,A37 P5 BPI 2020,A37 P5 BPI 2020,Compare cycle time,Compare cycle time,2022-03-14 22:24:15.966942,P5,A37,2020,Professional,Analyze Time,A372020,Sberbank
76,A37 P5 BPI 2020,A37 P5 BPI 2020,Find bottlenecks,Find sub-processes with incorrect orders with respect to the happy path as bottlenecks,2022-03-14 23:24:15.966942,P5,A37,2020,Professional,Analyze Time,A372020,Sberbank
77,A37 P5 BPI 2020,A37 P5 BPI 2020,Calculate frequency,Calculate frequency of attributes,2022-03-15 00:24:15.966942,P5,A37,2020,Professional,Calculate statistics,A372020,Sberbank
78,A37 P5 BPI 2020,A37 P5 BPI 2020,Calculate percentages,Calculate percentage of traces,2022-03-15 01:24:15.966942,P5,A37,2020,Professional,Calculate statistics,A372020,Sberbank
79,A37 P5 BPI 2020,A37 P5 BPI 2020,Calculate number of elements,Calculate number of activities,2022-03-15 02:24:15.966942,P5,A37,2020,Professional,Calculate statistics,A372020,Sberbank
80,A1 P6 BPI 2020,A1 P6 BPI 2020,Filter traces,Filter traces depending on the order of activities,2022-03-15 03:24:15.966942,P6,A1,2020,Academic,Manipulation,A12020,"Technische Universität, Berlin"
81,A1 P6 BPI 2020,A1 P6 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for a subset of traces,2022-03-15 04:24:15.966942,P6,A1,2020,Academic,Analyze Time,A12020,"Technische Universität, Berlin"
82,A2 P6 BPI 2020,A2 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2022-03-15 05:24:15.966942,P6,A2,2020,Student,Analyze Time,A22020,"Faculty of Science, Utrecht University"
83,A2 P6 BPI 2020,A2 P6 BPI 2020,Find bottlenecks,Find activities as bottlenecks applying temporal performance criteria,2022-03-15 06:24:15.966942,P6,A2,2020,Student,Analyze Time,A22020,"Faculty of Science, Utrecht University"
84,A2 P6 BPI 2020,A2 P6 BPI 2020,Represent process map,Represent process map with cycle time,2022-03-15 07:24:15.966942,P6,A2,2020,Student,Representation,A22020,"Faculty of Science, Utrecht University"
85,A7 P6 BPI 2020,A7 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2022-03-15 08:24:15.966942,P6,A7,2020,Academic,Analyze Time,A72020,German Research Center for Artificial Intelligence (DFKI)
86,A7 P6 BPI 2020,A7 P6 BPI 2020,Filter activities,Filter activities by cycle time,2022-03-15 09:24:15.966942,P6,A7,2020,Academic,Manipulation,A72020,German Research Center for Artificial Intelligence (DFKI)
87,A7 P6 BPI 2020,A7 P6 BPI 2020,Find bottlenecks,Find activities as bottlenecks applying temporal performance criteria,2022-03-15 10:24:15.966942,P6,A7,2020,Academic,Analyze Time,A72020,German Research Center for Artificial Intelligence (DFKI)
88,A10 P6 BPI 2020,A10 P6 BPI 2020,Filter traces,Filter traces by activities,2022-03-15 11:24:15.966942,P6,A10,2020,Academic,Manipulation,A102020,"Internal Audit Department, Rostov-on-Don"
89,A10 P6 BPI 2020,A10 P6 BPI 2020,Calculate number of elements,Calculate number of activities,2022-03-15 12:24:15.966942,P6,A10,2020,Academic,Calculate statistics,A102020,"Internal Audit Department, Rostov-on-Don"
90,A10 P6 BPI 2020,A10 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for each subset of traces,2022-03-15 13:24:15.966942,P6,A10,2020,Academic,Analyze Time,A102020,"Internal Audit Department, Rostov-on-Don"
91,A10 P6 BPI 2020,A10 P6 BPI 2020,Filter traces,Filter traces by activities,2022-03-15 14:24:15.966942,P6,A10,2020,Academic,Manipulation,A102020,"Internal Audit Department, Rostov-on-Don"
92,A10 P6 BPI 2020,A10 P6 BPI 2020,Calculate number of elements,Calculate number of activities,2022-03-15 15:24:15.966942,P6,A10,2020,Academic,Calculate statistics,A102020,"Internal Audit Department, Rostov-on-Don"
93,A10 P6 BPI 2020,A10 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for each subset of traces,2022-03-15 16:24:15.966942,P6,A10,2020,Academic,Analyze Time,A102020,"Internal Audit Department, Rostov-on-Don"
94,A12 P6 BPI 2020,A12 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2022-03-15 17:24:15.966942,P6,A12,2020,Professional,Analyze Time,A122020,Sberbank
95,A12 P6 BPI 2020,A12 P6 BPI 2020,Find bottlenecks,Find activities as bottlenecks applying temporal performance criteria,2022-03-15 18:24:15.966942,P6,A12,2020,Professional,Analyze Time,A122020,Sberbank
96,A13 P6 BPI 2020,A13 P6 BPI 2020,Preprocess the traces of the logs,Preprocess the traces of the logs,2022-03-15 19:24:15.966942,P6,A13,2020,Professional,Manipulation,A132020,Sberbank
97,A13 P6 BPI 2020,A13 P6 BPI 2020,Represent process map,Represent process map with cycle time,2022-03-15 20:24:15.966942,P6,A13,2020,Professional,Representation,A132020,Sberbank
98,A13 P6 BPI 2020,A13 P6 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for each subset of traces,2022-03-15 21:24:15.966942,P6,A13,2020,Professional,Analyze Time,A132020,Sberbank
99,A13 P6 BPI 2020,A13 P6 BPI 2020,Calculate frequency,Calculate frequency of variants,2022-03-15 22:24:15.966942,P6,A13,2020,Professional,Calculate statistics,A132020,Sberbank
100,A13 P6 BPI 2020,A13 P6 BPI 2020,Calculate intervals of time of the traces,Calculate intervals of time of the traces,2022-03-15 23:24:15.966942,P6,A13,2020,Professional,Analyze Time,A132020,Sberbank
101,A13 P6 BPI 2020,A13 P6 BPI 2020,Find bottlenecks,Find activities as bottlenecks applying temporal performance criteria,2022-03-16 00:24:15.966942,P6,A13,2020,Professional,Analyze Time,A132020,Sberbank
102,A25 P6 BPI 2020,A25 P6 BPI 2020,Represent histograms,Represent histograms of cycle time,2022-03-16 01:24:15.966942,P6,A25,2020,Student,Representation,A252020,¿?
103,A25 P6 BPI 2020,A25 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2022-03-16 02:24:15.966942,P6,A25,2020,Student,Analyze Time,A252020,¿?
104,A25 P6 BPI 2020,A25 P6 BPI 2020,Find bottlenecks,Find activities as bottlenecks applying temporal performance criteria,2022-03-16 03:24:15.966942,P6,A25,2020,Student,Analyze Time,A252020,¿?
105,A26 P6 BPI 2020,A26 P6 BPI 2020,Represent process map,Represent process map with cycle time,2022-03-16 04:24:15.966942,P6,A26,2020,Professional,Representation,A262020,Sberbank
106,A26 P6 BPI 2020,A26 P6 BPI 2020,Find bottlenecks,Find activities as bottlenecks applying temporal performance criteria,2022-03-16 05:24:15.966942,P6,A26,2020,Professional,Analyze Time,A262020,Sberbank
107,A28 P6 BPI 2020,A28 P6 BPI 2020,Find bottlenecks,Find sub-processes with incorrect orders with respect to the happy path as bottlenecks,2022-03-16 06:24:15.966942,P6,A28,2020,Professional,Analyze Time,A282020,Sberbank
108,A35 P6 BPI 2020,A35 P6 BPI 2020,Represent process map,Represent process map with cycle time,2022-03-16 07:24:15.966942,P6,A35,2020,Professional,Representation,A352020,-
109,A35 P6 BPI 2020,A35 P6 BPI 2020,Find bottlenecks,Find sub-processes with incorrect orders with respect to the happy path as bottlenecks,2022-03-16 08:24:15.966942,P6,A35,2020,Professional,Analyze Time,A352020,-
110,A37 P6 BPI 2020,A37 P6 BPI 2020,Filter traces,Filter traces by activities,2022-03-16 09:24:15.966942,P6,A37,2020,Professional,Manipulation,A372020,Sberbank
111,A37 P6 BPI 2020,A37 P6 BPI 2020,Preprocess the traces of the logs,Preprocess the traces of the logs,2022-03-16 10:24:15.966942,P6,A37,2020,Professional,Manipulation,A372020,Sberbank
112,A37 P6 BPI 2020,A37 P6 BPI 2020,Calculate number of elements,Calculate number of variants,2022-03-16 11:24:15.966942,P6,A37,2020,Professional,Calculate statistics,A372020,Sberbank
113,A37 P6 BPI 2020,A37 P6 BPI 2020,Calculate number of elements,Calculate number of different organizational units,2022-03-16 12:24:15.966942,P6,A37,2020,Professional,Calculate statistics,A372020,Sberbank
114,A37 P6 BPI 2020,A37 P6 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for a subset of traces,2022-03-16 13:24:15.966942,P6,A37,2020,Professional,Analyze Time,A372020,Sberbank
115,A37 P6 BPI 2020,A37 P6 BPI 2020,Compare cycle time,Compare cycle time,2022-03-16 14:24:15.966942,P6,A37,2020,Professional,Analyze Time,A372020,Sberbank
116,A2 P5 BPI 2015,A2 P5 BPI 2015,Calculate cycle time,Calculate cycle time of the whole process for all traces,2022-03-16 15:24:15.966942,P5,A2,2015,Student,Analyze Time,A22015,University of Tartu
117,A2 P5 BPI 2015,A2 P5 BPI 2015,Filter events,Filter events by cycle time,2022-03-16 16:24:15.966942,P5,A2,2015,Student,Manipulation,A22015,University of Tartu
118,A2 P5 BPI 2015,A2 P5 BPI 2015,Represent histograms,Represent histograms of cycle time,2022-03-16 17:24:15.966942,P5,A2,2015,Student,Representation,A22015,University of Tartu
119,A2 P5 BPI 2015,A2 P5 BPI 2015,Find bottlenecks,Find activities as bottlenecks applying temporal performance criteria,2022-03-16 18:24:15.966942,P5,A2,2015,Student,Analyze Time,A22015,University of Tartu
120,A3 P5 BPI 2015,A3 P5 BPI 2015,Group activities,Group activities by sub-processes,2022-03-16 19:24:15.966942,P5,A3,2015,Professional,Manipulation,A32015,KPMG Advisory
121,A3 P5 BPI 2015,A3 P5 BPI 2015,Calculate cycle time,Calculate cycle time for all pairs of events for each subset of traces,2022-03-16 20:24:15.966942,P5,A3,2015,Professional,Analyze Time,A32015,KPMG Advisory
122,A3 P5 BPI 2015,A3 P5 BPI 2015,Represent process map,Represent process map with cycle time,2022-03-16 21:24:15.966942,P5,A3,2015,Professional,Representation,A32015,KPMG Advisory
123,A3 P5 BPI 2015,A3 P5 BPI 2015,Filter activities,Filter activities by frequency,2022-03-16 22:24:15.966942,P5,A3,2015,Professional,Manipulation,A32015,KPMG Advisory
124,A3 P5 BPI 2015,A3 P5 BPI 2015,Represent bar charts,Represent bar charts of traces,2022-03-16 23:24:15.966942,P5,A3,2015,Professional,Representation,A32015,KPMG Advisory
125,A3 P5 BPI 2015,A3 P5 BPI 2015,Find bottlenecks,Find activities as bottlenecks applying temporal performance criteria,2022-03-17 00:24:15.966942,P5,A3,2015,Professional,Analyze Time,A32015,KPMG Advisory
126,A3 P5 BPI 2015,A3 P5 BPI 2015,Represent process map,Represent process map with cycle time,2022-03-17 01:24:15.966942,P5,A3,2015,Professional,Representation,A32015,KPMG Advisory
127,A4 P5 BPI 2015,A4 P5 BPI 2015,Calculate cycle time,Calculate cycle time of the whole process for each subset of traces,2022-03-17 02:24:15.966942,P5,A4,2015,Academic,Analyze Time,A42015,National Research Council Canada
128,A4 P5 BPI 2015,A4 P5 BPI 2015,Find bottlenecks,Find organizational units as bottlenecks applying temporal performance criteria,2022-03-17 03:24:15.966942,P5,A4,2015,Academic,Analyze Time,A42015,National Research Council Canada
129,A4 P5 BPI 2015,A4 P5 BPI 2015,Identify impact of bottlenecks by organizational unit,Identify impact of bottlenecks by organizational unit,2022-03-17 04:24:15.966942,P5,A4,2015,Academic,Identification,A42015,National Research Council Canada
130,A4 P5 BPI 2015,A4 P5 BPI 2015,Compare cycle time,Compare cycle time,2022-03-17 05:24:15.966942,P5,A4,2015,Academic,Analyze Time,A42015,National Research Council Canada
131,A7 P5 BPI 2015,A7 P5 BPI 2015,Filter traces,Filter traces by attributes,2022-03-17 06:24:15.966942,P5,A7,2015,Academic,Manipulation,A72015,"Capgemini, BTECH Division"
132,A7 P5 BPI 2015,A7 P5 BPI 2015,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2022-03-17 07:24:15.966942,P5,A7,2015,Academic,Analyze Time,A72015,"Capgemini, BTECH Division"
133,A7 P5 BPI 2015,A7 P5 BPI 2015,Represent histograms,Represent histograms of cycle time,2022-03-17 08:24:15.966942,P5,A7,2015,Academic,Representation,A72015,"Capgemini, BTECH Division"
134,A7 P5 BPI 2015,A7 P5 BPI 2015,Compare cycle time,Compare cycle time,2022-03-17 09:24:15.966942,P5,A7,2015,Academic,Analyze Time,A72015,"Capgemini, BTECH Division"
135,A7 P5 BPI 2015,A7 P5 BPI 2015,Find bottlenecks,Find activities as bottlenecks applying temporal performance criteria,2022-03-17 10:24:15.966942,P5,A7,2015,Academic,Analyze Time,A72015,"Capgemini, BTECH Division"
